center_x,center_y,center_z,cost,num_nodes
0.0,0.0,0.0,inf,0
0.0,0.0,0.25,inf,0
0.0,0.0,0.5,inf,0
0.0,0.0,0.75,inf,0
0.0,0.0,1.0,inf,0
0.25,0.0,0.0,inf,0
0.25,0.0,0.25,inf,0
0.25,0.0,0.5,inf,0
0.25,0.0,0.75,inf,0
0.25,0.0,1.0,inf,0
0.5,0.0,0.0,inf,0
0.5,0.0,0.25,inf,0
0.5,0.0,0.5,inf,0
0.5,0.0,0.75,52.32042255183633,30
0.5,0.0,1.0,inf,0
0.75,0.0,0.0,inf,0
0.75,0.0,0.25,54.21094817522475,30
0.75,0.0,0.5,54.713302349582484,30
0.75,0.0,0.75,inf,0
0.75,0.0,1.0,inf,0
1.0,0.0,0.0,inf,0
1.0,0.0,0.25,58.071865778036646,30
1.0,0.0,0.5,58.27892971674587,30
1.0,0.0,0.75,59.68874699427092,30
1.0,0.0,1.0,inf,0
